sensor_status,sensor_errors
483,"Lightning failed,Lightning noise,RH,Wind,Precipitation,Light/UV"
484,"Lightning disturber,RH,Wind,Precipitation,Light/UV"
485,"Lightning failed,Lightning disturber,RH,Wind,Precipitation,Light/UV"
486,"Lightning noise,Lightning disturber,RH,Wind,Precipitation,Light/UV"
487,"Lightning failed,Lightning noise,Lightning disturber,RH,Wind,Precipitation,Light/UV"
488,"Pressure,RH,Wind,Precipitation,Light/UV"
489,"Lightning failed,Pressure,RH,Wind,Precipitation,Light/UV"
490,"Lightning noise,Pressure,RH,Wind,Precipitation,Light/UV"
491,"Lightning failed,Lightning noise,Pressure,RH,Wind,Precipitation,Light/UV"
492,"Lightning disturber,Pressure,RH,Wind,Precipitation,Light/UV"
493,"Lightning failed,Lightning disturber,Pressure,RH,Wind,Precipitation,Light/UV"
494,"Lightning noise,Lightning disturber,Pressure,RH,Wind,Precipitation,Light/UV"
495,"Lightning failed,Lightning noise,Lightning disturber,Pressure,RH,Wind,Precipitation,Light/UV"
496,"Temperature,RH,Wind,Precipitation,Light/UV"
497,"Lightning failed,Temperature,RH,Wind,Precipitation,Light/UV"
498,"Lightning noise,Temperature,RH,Wind,Precipitation,Light/UV"
499,"Lightning failed,Lightning noise,Temperature,RH,Wind,Precipitation,Light/UV"
500,"Lightning disturber,Temperature,RH,Wind,Precipitation,Light/UV"
501,"Lightning failed,Lightning disturber,Temperature,RH,Wind,Precipitation,Light/UV"
502,"Lightning noise,Lightning disturber,Temperature,RH,Wind,Precipitation,Light/UV"
503,"Lightning failed,Lightning noise,Lightning disturber,Temperature,RH,Wind,Precipitation,Light/UV"
504,"Pressure,Temperature,RH,Wind,Precipitation,Light/UV"
505,"Lightning failed,Pressure,Temperature,RH,Wind,Precipitation,Light/UV"
506,"Lightning noise,Pressure,Temperature,RH,Wind,Precipitation,Light/UV"
507,"Lightning failed,Lightning noise,Pressure,Temperature,RH,Wind,Precipitation,Light/UV"
508,"Lightning disturber,Pressure,Temperature,RH,Wind,Precipitation,Light/UV"
509,"Lightning failed,Lightning disturber,Pressure,Temperature,RH,Wind,Precipitation,Light/UV"
510,"Lightning noise,Lightning disturber,Pressure,Temperature,RH,Wind,Precipitation,Light/UV"
511,"Lightning failed,Lightning noise,Lightning disturber,Pressure,Temperature,RH,Wind,Precipitation,Light/UV"
