sensor_status,sensor_errors
137,"Lightning failed,Pressure,Precipitation"
138,"Lightning noise,Pressure,Precipitation"
139,"Lightning failed,Lightning noise,Pressure,Precipitation"
140,"Lightning disturber,Pressure,Precipitation"
141,"Lightning failed,Lightning disturber,Pressure,Precipitation"
142,"Lightning noise,Lightning disturber,Pressure,Precipitation"
143,"Lightning failed,Lightning noise,Lightning disturber,Pressure,Precipitation"
144,"Temperature,Precipitation"
145,"Lightning failed,Temperature,Precipitation"
146,"Lightning noise,Temperature,Precipitation"
147,"Lightning failed,Lightning noise,Temperature,Precipitation"
148,"Lightning disturber,Temperature,Precipitation"
149,"Lightning failed,Lightning disturber,Temperature,Precipitation"
150,"Lightning noise,Lightning disturber,Temperature,Precipitation"
151,"Lightning failed,Lightning noise,Lightning disturber,Temperature,Precipitation"
152,"Pressure,Temperature,Precipitation"
153,"Lightning failed,Pressure,Temperature,Precipitation"
154,"Lightning noise,Pressure,Temperature,Precipitation"
155,"Lightning failed,Lightning noise,Pressure,Temperature,Precipitation"
156,"Lightning disturber,Pressure,Temperature,Precipitation"
157,"Lightning failed,Lightning disturber,Pressure,Temperature,Precipitation"
158,"Lightning noise,Lightning disturber,Pressure,Temperature,Precipitation"
159,"Lightning failed,Lightning noise,Lightning disturber,Pressure,Temperature,Precipitation"
160,"RH,Precipitation"
161,"Lightning failed,RH,Precipitation"
162,"Lightning noise,RH,Precipitation"
163,"Lightning failed,Lightning noise,RH,Precipitation"
164,"Lightning disturber,RH,Precipitation"
165,"Lightning failed,Lightning disturber,RH,Precipitation"
166,"Lightning noise,Lightning disturber,RH,Precipitation"
167,"Lightning failed,Lightning noise,Lightning disturber,RH,Precipitation"
168,"Pressure,RH,Precipitation"
169,"Lightning failed,Pressure,RH,Precipitation"
170,"Lightning noise,Pressure,RH,Precipitation"
171,"Lightning failed,Lightning noise,Pressure,RH,Precipitation"
172,"Lightning disturber,Pressure,RH,Precipitation"
173,"Lightning failed,Lightning disturber,Pressure,RH,Precipitation"
174,"Lightning noise,Lightning disturber,Pressure,RH,Precipitation"
175,"Lightning failed,Lightning noise,Lightning disturber,Pressure,RH,Precipitation"
176,"Temperature,RH,Precipitation"
177,"Lightning failed,Temperature,RH,Precipitation"
178,"Lightning noise,Temperature,RH,Precipitation"
179,"Lightning failed,Lightning noise,Temperature,RH,Precipitation"
180,"Lightning disturber,Temperature,RH,Precipitation"
181,"Lightning failed,Lightning disturber,Temperature,RH,Precipitation"
182,"Lightning noise,Lightning disturber,Temperature,RH,Precipitation"
183,"Lightning failed,Lightning noise,Lightning disturber,Temperature,RH,Precipitation"
184,"Pressure,Temperature,RH,Precipitation"
185,"Lightning failed,Pressure,Temperature,RH,Precipitation"
186,"Lightning noise,Pressure,Temperature,RH,Precipitation"
187,"Lightning failed,Lightning noise,Pressure,Temperature,RH,Precipitation"
188,"Lightning disturber,Pressure,Temperature,RH,Precipitation"
189,"Lightning failed,Lightning disturber,Pressure,Temperature,RH,Precipitation"
190,"Lightning noise,Lightning disturber,Pressure,Temperature,RH,Precipitation"
191,"Lightning failed,Lightning noise,Lightning disturber,Pressure,Temperature,RH,Precipitation"
192,"Wind,Precipitation"
193,"Lightning failed,Wind,Precipitation"
194,"Lightning noise,Wind,Precipitation"
195,"Lightning failed,Lightning noise,Wind,Precipitation"
196,"Lightning disturber,Wind,Precipitation"
197,"Lightning failed,Lightning disturber,Wind,Precipitation"
198,"Lightning noise,Lightning disturber,Wind,Precipitation"
199,"Lightning failed,Lightning noise,Lightning disturber,Wind,Precipitation"
200,"Pressure,Wind,Precipitation"
201,"Lightning failed,Pressure,Wind,Precipitation"
202,"Lightning noise,Pressure,Wind,Precipitation"
203,"Lightning failed,Lightning noise,Pressure,Wind,Precipitation"
204,"Lightning disturber,Pressure,Wind,Precipitation"
205,"Lightning failed,Lightning disturber,Pressure,Wind,Precipitation"
206,"Lightning noise,Lightning disturber,Pressure,Wind,Precipitation"
207,"Lightning failed,Lightning noise,Lightning disturber,Pressure,Wind,Precipitation"
208,"Temperature,Wind,Precipitation"
209,"Lightning failed,Temperature,Wind,Precipitation"
210,"Lightning noise,Temperature,Wind,Precipitation"
211,"Lightning failed,Lightning noise,Temperature,Wind,Precipitation"
212,"Lightning disturber,Temperature,Wind,Precipitation"
213,"Lightning failed,Lightning disturber,Temperature,Wind,Precipitation"
214,"Lightning noise,Lightning disturber,Temperature,Wind,Precipitation"
215,"Lightning failed,Lightning noise,Lightning disturber,Temperature,Wind,Precipitation"
216,"Pressure,Temperature,Wind,Precipitation"
217,"Lightning failed,Pressure,Temperature,Wind,Precipitation"
218,"Lightning noise,Pressure,Temperature,Wind,Precipitation"
219,"Lightning failed,Lightning noise,Pressure,Temperature,Wind,Precipitation"
220,"Lightning disturber,Pressure,Temperature,Wind,Precipitation"
221,"Lightning failed,Lightning disturber,Pressure,Temperature,Wind,Precipitation"
222,"Lightning noise,Lightning disturber,Pressure,Temperature,Wind,Precipitation"
223,"Lightning failed,Lightning noise,Lightning disturber,Pressure,Temperature,Wind,Precipitation"
224,"RH,Wind,Precipitation"
225,"Lightning failed,RH,Wind,Precipitation"
226,"Lightning noise,RH,Wind,Precipitation"
227,"Lightning failed,Lightning noise,RH,Wind,Precipitation"
228,"Lightning disturber,RH,Wind,Precipitation"
229,"Lightning failed,Lightning disturber,RH,Wind,Precipitation"
230,"Lightning noise,Lightning disturber,RH,Wind,Precipitation"
231,"Lightning failed,Lightning noise,Lightning disturber,RH,Wind,Precipitation"
232,"Pressure,RH,Wind,Precipitation"
233,"Lightning failed,Pressure,RH,Wind,Precipitation"
234,"Lightning noise,Pressure,RH,Wind,Precipitation"
235,"Lightning failed,Lightning noise,Pressure,RH,Wind,Precipitation"
236,"Lightning disturber,Pressure,RH,Wind,Precipitation"
237,"Lightning failed,Lightning disturber,Pressure,RH,Wind,Precipitation"
238,"Lightning noise,Lightning disturber,Pressure,RH,Wind,Precipitation"
239,"Lightning failed,Lightning noise,Lightning disturber,Pressure,RH,Wind,Precipitation"
240,"Temperature,RH,Wind,Precipitation"
241,"Lightning failed,Temperature,RH,Wind,Precipitation"
242,"Lightning noise,Temperature,RH,Wind,Precipitation"
243,"Lightning failed,Lightning noise,Temperature,RH,Wind,Precipitation"
244,"Lightning disturber,Temperature,RH,Wind,Precipitation"
245,"Lightning failed,Lightning disturber,Temperature,RH,Wind,Precipitation"
246,"Lightning noise,Lightning disturber,Temperature,RH,Wind,Precipitation"
247,"Lightning failed,Lightning noise,Lightning disturber,Temperature,RH,Wind,Precipitation"
248,"Pressure,Temperature,RH,Wind,Precipitation"
249,"Lightning failed,Pressure,Temperature,RH,Wind,Precipitation"
250,"Lightning noise,Pressure,Temperature,RH,Wind,Precipitation"
251,"Lightning failed,Lightning noise,Pressure,Temperature,RH,Wind,Precipitation"
252,"Lightning disturber,Pressure,Temperature,RH,Wind,Precipitation"
253,"Lightning failed,Lightning disturber,Pressure,Temperature,RH,Wind,Precipitation"
